time	ext	int	role
1	1	2	2
2	1	2	2
3	3	2	7
4	2	2	10
5	2	4	10
6	0	2	11
7	0	2	5
8	0	0	15
9	3	2	14
10	4	3	15
11	0	1	9
12	2	1	13
13	0	2	16
14	1	0	10
15	2	2	16
16	0	3	13
17	0	1	18
18	0	1	17
19	0	2	15
20	2	2	14
21	4	6	11
22	0	1	12
23	1	1	14
24	0	0	15
25	1	3	12
26	1	0	16
27	0	2	24
28	0	7	10
29	0	0	26
30	1	0	18
31	0	2	13
32	1	3	11
33	0	2	14
34	0	0	6
35	2	3	12
36	1	0	18
37	1	0	21
38	0	2	20
39	0	2	20
40	0	1	17
41	2	3	18
42	1	1	13
43	2	2	21
44	2	1	6
45	3	2	15
46	1	4	20
47	0	0	15
48	0	3	20
49	0	3	15
50	2	1	16
51	2	3	9
52	5	3	12
53	5	7	14
54	1	6	8
55	0	1	16
56	1	0	21
57	0	3	16
58	1	2	12
59	2	3	14
60	0	3	13
61	0	2	20
62	1	6	9
63	0	1	18
64	3	1	15
65	0	0	21
66	2	2	6
